DATE	WELL	QOIL	QWAT	QGAS	BHP
2018-09-14	WELL1	7121.19809	691.9763668		1643.990979
2018-10-14	WELL1	7112.637793	707.9073627		1643.990979
2018-11-13	WELL1	6925.430679	667.3886651		1643.990979
2018-12-13	WELL1	7702.588932	696.4738741		1643.990979
2011-02-01	WELL10				
2011-03-04	WELL10				
2011-04-04	WELL10				
2011-05-05	WELL10				
2011-06-05	WELL10				
2011-07-06	WELL10				
2011-08-06	WELL10				
2011-09-06	WELL10				
2011-10-07	WELL10				
2011-11-07	WELL10				
2011-12-08	WELL10				
2012-01-08	WELL10				
2012-02-08	WELL10				
2012-03-10	WELL10				
2012-04-10	WELL10				
2012-05-11	WELL10				
2012-06-11	WELL10				
2012-07-12	WELL10				
2012-08-12	WELL10				
2012-09-12	WELL10				
2012-10-13	WELL10	6921.820804	36.87864607	2424.871134	2354.776424
2012-11-13	WELL10	7031.786463	32.6832554	2433.226251	2354.776424
2012-12-14	WELL10	6855.742893	32.6832554	2338.813025	2354.776424
2013-01-13	WELL10	6951.324528	30.58470566	2453.43456	2354.776424
2013-02-12	WELL10	7008.01864	39.70190252	2543.669291	2354.776424
2013-03-14	WELL10	6677.723058	39.70190252	2395.133463	2354.776424
2013-04-13	WELL10	7072.492045	39.70190252	2519.783227	2339.259442
2013-05-13	WELL10	7198.84111	39.70190252	2431.097847	2339.259442
2013-06-12	WELL10	6986.581747	39.70190252	2539.49079	2339.259442
2013-07-12	WELL10	7271.581835	15.42787178	2554.16395	2339.259442
2013-08-11	WELL10	7249.019365	0.486625313	2550.012772	2339.259442
2013-09-10	WELL10	7330.072962	20.95271406	2338.557596	2339.259442
2013-10-10	WELL10	6653.97052	20.95271406	2557.146601	2254.711205
2013-11-09	WELL10	6672.324582	20.95271406	2399.721432	2254.711205
2013-12-09	WELL10	6658.980699	20.95271406	2377.87808	2254.711205
2014-01-08	WELL10	6839.498233	31.37826756	2360.700792	2254.711205
2014-02-07	WELL10	6875.767357	33.74897914	2448.380782	2254.711205
2014-03-09	WELL10	6770.965257	10.05177405	2512.455932	2254.711205
2014-04-08	WELL10	6939.4793	25.90214543	2368.575532	2195.72431
2014-05-08	WELL10	6867.122832	25.90214543	2488.901837	2195.72431
2014-06-07	WELL10	7325.153782	25.90214543	2495.910862	2195.72431
2014-07-07	WELL10	7058.838433	25.90214543	2355.592109	2195.72431
2014-08-06	WELL10	6975.537048	28.89249731	2351.058625	2195.72431
2014-09-05	WELL10	7267.174058	28.89249731	2371.60466	2195.72431
2014-10-05	WELL10	6862.002437	28.89249731	2335.448009	2109.394705
2014-11-04	WELL10	6936.341224	28.89249731	2555.96536	2109.394705
2014-12-04	WELL10	6984.483716	27.87773907	2333.990709	2109.394705
2015-01-03	WELL10	6780.639853	27.87773907	2366.351461	2109.394705
2015-02-02	WELL10	6939.967167	37.44807831	2477.278986	2109.394705
2015-03-04	WELL10	6907.360526	37.44807831	2550.11071	2109.394705
2015-04-03	WELL10	7261.567051	37.44807831	2413.053434	2133.718898
2015-05-03	WELL10	7238.785681	37.44807831	2446.31404	2133.718898
2015-06-02	WELL10	7031.57858	37.44807831	2449.529624	2133.718898
2015-07-02	WELL10	7125.597154	37.44807831	2524.532596	2133.718898
2015-08-01	WELL10	6689.156091	37.44807831	2521.504665	2133.718898
2015-08-31	WELL10	7211.278778	37.44807831	2376.239403	2133.718898
2015-09-30	WELL10	7338.664792	37.44807831	2462.166643	2156.545247
2015-10-30	WELL10	6713.332468	11.55777433	2402.494569	2156.545247
2015-11-29	WELL10	7006.897315	24.46426771	2466.059268	2156.545247
2015-12-29	WELL10	6922.448751	19.89348634	2394.754408	2156.545247
2016-01-28	WELL10	6691.459477	19.89348634	2557.311994	2156.545247
2016-02-27	WELL10	7077.440418	21.50204381	2548.456249	2156.545247
2016-03-28	WELL10	6702.803132	15.93204372	2434.362746	2156.545247
2016-04-27	WELL10	6922.40893	15.93204372	2382.866242	2144.304643
2016-05-27	WELL10	6720.475713	109.133641	2501.813485	2144.304643
2016-06-26	WELL10	7031.752165	139.1217639	2309.573721	2144.304643
2016-07-26	WELL10	6699.706164	188.4769105	2376.910132	2144.304643
2016-08-25	WELL10	6939.266264	270.4413772	2342.615212	2144.304643
2016-09-24	WELL10	6756.903419	241.4115975	2386.140696	2144.304643
2016-10-24	WELL10	7043.733995	309.4732547	2349.079468	2144.304643
2016-11-23	WELL10	6548.939142	282.7609921	2419.967528	2088.838692
2016-12-23	WELL10	6797.383425	298.7073954	2401.807793	2088.838692
2017-01-22	WELL10	6740.704046	330.3224368	2278.733771	2088.838692
2017-02-21	WELL10	6326.433302	371.4408916	2400.448921	2088.838692
2017-03-23	WELL10	6725.742196	466.0864443	2281.476226	2088.838692
2017-04-22	WELL10	6451.076598	515.6521666	2180.713222	2088.838692
2017-05-22	WELL10	6364.920504	582.9209662	2233.199532	1924.699098
